issue_date,issue_time,marked_time,color,location,agency,violation_code,violation_description,fine_amount,latitude,longitude,agency_description,issue_year
2019-01-28,1256.0,,BK,3400 RO THORPE AVE,56.0,80.61,STANDNG IN ALLEY,68.0,99999.0,99999.0,,2019.0
2019-02-09,1057.0,,BK,5101 SUNSET BL,54.0,88.13B+,METER EXP.,63.0,6470687.066927,1858227.387659,,2019.0
2019-03-27,323.0,,GY,5201 S HALLDALE AV,55.0,8056E4,RED ZONE,93.0,99999.0,99999.0,,2019.0
2019-03-11,1354.0,,BK,635 76TH ST W,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6475354.760785,1811859.787476,,2019.0
2019-07-25,2031.0,,SL,123 AVE 57 N,56.0,88.63B+,OFF STR/OVERTIME/MTR,58.0,6503241.934880001,1862386.855972,,2019.0
2019-01-06,2153.0,,SL,1946 WILCOX AVE,54.0,80.58L,PREFERENTIAL PARKING,68.0,6461453.799425,1858148.52233,,2019.0
2019-07-05,240.0,,MR,1000 SYCAMORE AVE N,54.0,80.69B,NO PARKING,73.0,6457215.903131,1843373.892859,,2019.0
2019-05-21,1437.0,,WT,609 BIXEL ST S,56.0,88.13B+,METER EXP.,63.0,6482218.513569,1842071.505436,,2019.0
2019-06-13,152.0,,WT,144 MANSFIELD AVE N,54.0,22502A,18 IN. CURB/2 WAY,63.0,6458466.833829,1848922.643649,,2019.0
2019-02-26,2245.0,,SL,714 ALPINE ST,56.0,80.56E1,WHITE ZONE,58.0,6488000.996668,1845579.692105,,2019.0
2019-01-18,39.0,,BK,3150 SAWTELLE BLVD,51.0,80.56E4+,RED ZONE,93.0,6431351.473429,1831593.278868,,2019.0
2019-08-15,1030.0,,SL,11538 LEADWELL ST,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6445585.837703,1896863.302504,,2019.0
2019-01-24,1335.0,,WT,686 LITTLE ST,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6479084.172723,1842529.751806,,2019.0
2019-05-22,2245.0,,RD,167 MARIPOSA AVE N,54.0,22500H,DOUBLE PARKING,68.0,6470997.225224,1849616.034159,,2019.0
2019-07-03,1059.0,,GY,4238 9TH AVE,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6462660.0651360005,1824781.587253,,2019.0
2019-05-08,239.0,,WT,215 6TH ST W,56.0,80.69B,NO PARKING,73.0,6485594.649542,1839237.754496,,2019.0
2019-02-15,1032.0,,SL,155 HARVARD BLVD S,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6469515.911431,1849670.287865,,2019.0
2019-02-19,149.0,,SL,251 MAIN ST S,56.0,80.56E4+,RED ZONE,93.0,6487332.268714,1840689.836018,,2019.0
2019-05-17,541.0,,SL,316 16TH ST,55.0,5204A-,DISPLAY OF TABS,25.0,6475330.489449,1724126.348269,,2019.0
2019-10-26,1056.0,,BL,800 7TH ST W,56.0,88.13B+,METER EXP.,63.0,6483280.353619999,1840201.940487,56 - DOT - CENTRAL,2019.0
2019-06-19,1227.0,,GY,8721 RAMSGATE AVE,51.0,5204A-,DISPLAY OF TABS,25.0,6445621.302054,1807358.781311,,2019.0
